field,definition,unit,source
low_sample_few_transactions,True when transactions_in_window < 10 (NOT total_transactions all-time -- see transactions_in_window). Catches merchants whose first/last transaction span many months but who actually have very few transactions inside the growth window -- a case low_sample_short_window alone misses. Team-chosen threshold,boolean,derived
low_sample_few_active_months,"True when active_months_in_window < 3, i.e. few months with any transaction even though the calendar span looks long. Team-chosen threshold",boolean,derived
low_sample_growth_estimate,True if ANY of low_sample_short_window / low_sample_few_transactions / low_sample_few_active_months is true. normalized_monthly_revenue_trend and monthly_revenue_cv should be treated with caution (or excluded) for these merchants in any ranking. Replaces a single calendar-span-only check that a review found missed 187 merchants with <10 total transactions and 29 merchants with only 1-2 active months in the window,boolean,derived
estimated_bnpl_revenue,total_revenue * merchant_take_rate_pct / 100; null when take rate is unavailable,AUD,derived
regional_data_coverage_rate_all_sources,Share of this merchant's revenue from transactions whose consumer postcode matched all three external sources (census+seifa+ato),proportion 0-1,derived
census_data_coverage_rate,"Share of this merchant's REVENUE ($) from transactions whose consumer postcode matched the Census source. Amount-weighted -- kept for reference, but the census_* feature averages below are computed as row-count-weighted averages, so this figure can diverge from their true reliability (see census_data_coverage_rate_by_count)",proportion 0-1,derived
seifa_data_coverage_rate,"As above (amount-weighted), for the SEIFA source",proportion 0-1,derived
ato_data_coverage_rate,"As above (amount-weighted), for the ATO source",proportion 0-1,derived
regional_data_coverage_rate_all_sources_by_count,"Share of this merchant's TRANSACTIONS (not revenue) whose consumer postcode matched all three sources. Row-count-weighted -- matches the weighting used to compute the regional feature averages themselves, so this is the PRIMARY figure to use when explaining how reliable those averages are (a review measured up to a 41.35-point gap between the amount- and count-weighted ATO coverage for individual merchants)",proportion 0-1,derived
census_data_coverage_rate_by_count,Row-count-weighted coverage for the Census source specifically -- primary reliability figure for the census_* feature columns,proportion 0-1,derived
seifa_data_coverage_rate_by_count,Row-count-weighted coverage for the SEIFA source specifically -- primary reliability figure for the seifa_* feature columns,proportion 0-1,derived
ato_data_coverage_rate_by_count,Row-count-weighted coverage for the ATO source specifically -- primary reliability figure for the ato_* feature columns,proportion 0-1,derived
ato_small_denominator_share_of_matched,"Of this merchant's ATO-matched transactions, the share whose postcode's ATO ratios rest on fewer than 100 individuals (external_ato's ato_small_denominator quality flag). High values mean the ato_* feature columns for this merchant rest on statistically unstable postcode-level ratios, independent of whether ATO matched at all. Null when the merchant has no ATO-matched transactions",proportion 0-1,derived
census_population,Total usual residents in the merchant's customer postcodes (transaction-weighted average),count,census
census_median_household_income_weekly,Median weekly household income of customer postcodes (transaction-weighted average),AUD/week,census
census_avg_household_size,Average household size of customer postcodes (transaction-weighted average),persons/household,census
census_single_parent_family_share,One-parent families / total families in customer postcodes (transaction-weighted average); replaces the raw one-parent-family count to avoid double-counting regional population scale,proportion 0-1,census
census_couple_with_children_family_share,Couple-with-children families / total families in customer postcodes (transaction-weighted average); replaces the raw count for the same reason,proportion 0-1,census
census_unemployment_rate_published_pct,ABS-published unemployment rate of customer postcodes (transaction-weighted average),percentage points,census
census_labour_force_participation_rate_published_pct,ABS-published labour-force participation rate of customer postcodes (transaction-weighted average),percentage points,census
seifa_irsd_national_decile,"IRSD (disadvantage) national decile of customer postcodes; 1=most disadvantaged, 10=least (transaction-weighted average). The raw score is dropped: it is a near-linear transform of the decile at postcode granularity",integer 1-10 (avg),seifa
seifa_irsad_national_decile,IRSAD (advantage/disadvantage) national decile of customer postcodes (transaction-weighted average); score dropped for the same reason,integer 1-10 (avg),seifa
seifa_ier_national_decile,IER (economic resources) national decile of customer postcodes (transaction-weighted average); score dropped for the same reason,integer 1-10 (avg),seifa
ato_taxable_income_or_loss_per_reporter,Average taxable income per reporter (2021-22) in customer postcodes (transaction-weighted average),AUD/year,ato
ato_salary_or_wages_per_recipient,Average salary/wages per recipient (2021-22) in customer postcodes (transaction-weighted average),AUD/year,ato
ato_net_tax_payer_share,Share of individuals paying net tax (2021-22) in customer postcodes (transaction-weighted average),proportion 0-1,ato
